"V1","V2","V3"
0.374289290383331,0.421327002148701,0.399697063742678
0.377079888286971,0.429405805780789,0.406119863358072
0.382731587452326,0.433335092482594,0.408657121697615
0.377106817927597,0.431947352700718,0.400780011314055
0.376330073777808,0.428896792296655,0.405181362902113
0.383659084721785,0.432903291567527,0.412360091210303
0.373518143664569,0.430937685961908,0.406882877630778
0.375943584919241,0.437901627576593,0.401037476048259
0.376764447823007,0.429387852174386,0.405369762718237
0.376431761277217,0.436111537376291,0.407297422247666
0.376056534365944,0.423545379593634,0.409342171058142
0.379616280310074,0.436228956270497,0.406041342854678
0.375842204400215,0.422777962520286,0.402510317991528
0.381058497257072,0.441906040774029,0.408562852901014
0.379711846826467,0.429801959036013,0.4044825045371
0.377908997028499,0.430367943034526,0.405991378438102
0.379242326696385,0.431979637542554,0.407953759293378
0.379195232835627,0.432469894777569,0.407946606721907
0.380201961657349,0.431338640816193,0.407619830844396
0.376702956090412,0.422522442389891,0.403179749767787
0.381906944967341,0.435839892486001,0.406869290255145
0.376003348966606,0.429014805202769,0.403192696032875
0.376498811022429,0.437885888340134,0.406989924649679
0.379708494127044,0.433097604402064,0.408179216566623
0.376650127470839,0.43246262277853,0.409072050326813
0.377215746913862,0.432525474762315,0.407027036238105
0.377813758605953,0.432393081733153,0.401510313025028
0.381746351517904,0.432652716817302,0.405094999541234
0.380372659549721,0.431559332583674,0.403339995180886
0.376805380406495,0.434026061242093,0.406817310278257
