"V1","V2","V3","V4"
1.26050653319526,1.28407197375696,1.31145421872145,1.22964142858617
1.26774896161235,1.2902653869963,1.30286682007314,1.19036988058496
1.27491557851838,1.2858206301462,1.3287812270141,1.22395950663977
1.25800429953854,1.26692936568585,1.29839497582762,1.23189847932492
1.28222006896588,1.29451225314721,1.30299817743214,1.20548153371744
1.25331547274607,1.24238278539989,1.27379043316672,1.19264471427816
1.29400569896028,1.28427348246509,1.31770097231681,1.23275331365786
1.23495090903076,1.23680447678513,1.28028236169896,1.14955392415484
1.27071736589569,1.28526288173958,1.31345473662305,1.23026877469727
1.26639293463022,1.22124910687658,1.34948523760999,1.2306860587975
1.25701652913324,1.25254492416587,1.30028061137207,1.24827381381131
1.2718946529707,1.27126068732488,1.3367684005033,1.18699776420502
1.26017681461337,1.23813645896013,1.25745565700976,1.19957087897236
1.28022193115883,1.25886286875029,1.35916067491518,1.23282357553393
1.2500354339985,1.25854706566333,1.31407029752564,1.22689101223187
1.28473261971116,1.22566678735837,1.33948474473199,1.1908295019699
1.24455458768333,1.223568810536,1.25315692701872,1.2086678440622
1.27369280453842,1.28294150128114,1.34863982424663,1.21492715239532
1.25856847024124,1.25671385783208,1.3172826603222,1.17368198807411
1.26272953018555,1.24944930098566,1.31671074059089,1.23532657016095
1.2501834121543,1.231922017456,1.29882642755206,1.19878011750042
1.25400856787178,1.28176158210659,1.25298631398804,1.18900945049888
1.27117381319609,1.29264962349447,1.29438940174815,1.23896527142758
1.27265556172875,1.28252481873144,1.30290844342581,1.21943742763362
1.28848575653874,1.27670349700202,1.34751435257051,1.25079837375259
1.27035658791845,1.23433106640907,1.35939015920227,1.2158004785333
1.24240045642376,1.22984348190895,1.25695365973318,1.19521308422864
1.27358002174766,1.29093018608854,1.31968379257257,1.23487711722314
1.24413433470607,1.22391769497674,1.33120939386875,1.22768284560966
1.27782281544854,1.25680671623037,1.26753495640108,1.22008818158785
1.27077341071358,1.29161801442286,1.29836588863493,1.1997041105427
