".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13.x","prueba_13.y","prueba_14","prueba_15","prueba_16.x","prueba_16.y","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard",54453.722566501,62910.6244120632,60567.9941843098,62866.5353919791,62786.0001718133,86947.0327903989,57713.1160268883,89897.8761707079,56064.7533435324,62893.9554706669,64794.8695726717,90188.141798442,56810.0679514785,64961.5344584085,91785.7022066347,95172.4342937954,61416.8818453314,64046.1329504115,58253.232490707,53318.5414814553,54293.480269566,60824.2100206091,54350.9240513114,53937.8453756827,62559.0532294703,94025.6955072808,63726.7326755345,61703.603860608,58872.5476370429,54348.942485134,"59150.2623589533","91167.2551681925","58341.3247724613"
"rsq","standard",0.440132212977964,0.401508699092926,0.429069869128909,0.404761421284018,0.379194433341269,0.284820753897875,0.380900614664637,0.29118272649415,0.40149991976892,0.405021181471005,0.402346772526901,0.289468706965604,0.433067966772302,0.410521665720832,0.277804003680469,0.281822402570445,0.430527197463568,0.365066236631541,0.397404659951102,0.476421044879776,0.478806140734971,0.430415481062133,0.47731441920246,0.471685537882322,0.357161016671412,0.280542158433493,0.387161798771025,0.446895235032259,0.388694018658648,0.44025263318678,"0.405957957148075","0.264970972702843","0.425385276080566"
"mae","standard",33019.0231249631,32781.866751991,32778.2777930294,33638.649391517,34899.2113231048,33222.5581743759,33101.2991635912,34756.1436446136,32735.5296725376,33708.3562206152,33291.7693367347,33964.1996533187,32775.252346455,34295.9727495884,34564.6634154847,35372.1471207337,33232.4579828511,34303.8357929777,33444.4578272581,32183.5871898995,32792.3093287195,33250.058539552,32965.9417406008,32933.6542007626,34333.7357579687,36298.6430056577,34873.1243215299,33538.5563437341,33991.9663646115,32547.1859047356,"33348.7246207023","34073.7686462446","33301.2306046317"
"Bias","Standard",-564.065056692118,-439.744129221342,293.644273308739,-581.337396152504,-1218.12358266213,506.70094518193,-985.665557671958,2023.48531715242,-4920.54078797454,921.824733937233,577.557684628021,1624.82610710821,-1392.06566068899,798.385667749352,2207.14924731137,3418.52967153385,278.463444993756,1400.32631252179,-1234.22212878874,-1045.13571031393,-149.430667487359,465.95431059328,-1803.60652175072,269.730415679155,-2317.08776567999,3382.88793242367,326.500936085706,578.096597990225,-474.212905130568,-2067.02395308495,"653.309256005789","543.975186816059","-196.289086205028"
"Varianza","Muestral",2765127003.81185,4260802859.02193,3952602902.8752,4142139703.66726,3626698467.50944,8085952668.47868,2926237893.5301,9010239554.26725,1629139145.32546,4078137187.31568,4569385643.31335,9071893768.29019,3201976463.96916,4731247765.44449,9341353906.08919,10199680631.8243,4007863425.89201,4048798379.34949,2801173830.58063,3021074830.06328,3213068677.88416,3893935294.85699,2929485719.73058,3086407978.99741,3066916183.23527,9816069361.75768,3934325999.65857,4367473609.8681,2655725776.17121,2684576296.12606,"3328523726.9974","9011289415.13319","3707589648.78982"
