".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard",97240.2732861416,111121.566806104,102178.157508994,144667.844244624,126549.93388139,126952.712576784,102305.367854822,126232.272602003,120960.017656642,99570.7595448339,105562.524368498,125696.847024234,108919.298387033,122860.025330464,128273.283636124,125442.466271073,98015.0123202402,97427.1831324522,101519.244084706,121435.661399558,100696.534586288,100733.780078512,128565.779277883,102491.722323915,104425.012625965,102408.379175577,101450.598730439,"119257.710438398","123980.111086709","88018.9866829996"
"rsq","standard",0.0125756420816986,0.00634535212652199,0.00957500906973733,0.00396318384385812,0.006760001275322,0.00473671951510081,0.00833834706206244,0.0099219055486538,0.00597863883867103,0.0130497791017381,0.00956475607635121,0.00285099919699697,0.00296779364518116,0.00602507904744374,0.00315315167199113,0.0102300298778052,0.0161069177105156,0.0123942549683773,0.00993415105535029,0.00671877481676316,0.00802868959060932,0.00377238291895052,0.00898713485685225,0.0155356313692644,0.00969667130001395,0.00775244558614534,0.00549233685360966,"0.00755816508189063","0.00392458649141531","0.100733279474321"
"mae","standard",67837.2266928361,68730.7879199186,67585.168297456,70875.0023094688,70139.8689401538,68960.8058862434,67987.7271835132,69731.1026150281,67695.2420465726,66888.4902619208,66889.2534982102,69666.0549816728,70106.5042016807,68891.3605288617,71028.7086484709,70830.8783068783,67728.6185425932,66401.645716176,68521.9891483065,67997.8338318378,69564.3906882591,68086.7602873939,72250.2893796687,67960.4310623184,69024.1107702795,68194.1157894737,67582.7994907702,"69287.2463674524","69471.1996638655","54177.4403789611"
"Bias","Standard",1492.33104350671,-182.372582287072,1466.26484018265,1285.53348729792,-1088.38114343029,2536.59953703704,-244.588158325155,4573.94405825885,-1894.91210232863,4519.13834788449,4466.62024080703,3733.55314895035,957.599870717518,4633.16639793615,3505.48010522854,-2783.39947089947,159.360930550804,3452.5124048958,3051.11180532719,2576.40877367896,906.506072874494,3150.84258654474,3417.3208834037,3242.31675815305,3677.04192229039,3165.57589134126,120.420114576703,"2533.92831772683","3081.62386554622","769.501796798432"
"Varianza","Muestral",-70309674.465661,-224092179.769176,1259550980.53733,-8943557175.54395,-4725707134.44729,3792986853.51764,-812943016.425676,4926228663.38405,-5898735249.30819,2146758085.44182,1685177760.38643,6000293249.6586,1683939918.79263,6837690370.80502,7453860853.45761,-6217429075.30249,-160723718.771538,618679620.079796,1552555341.3456,-4703883770.84007,-135782071.325913,1174167286.19135,6120066828.87245,1269824846.55506,1582330255.19122,-333880872.608154,-600631029.339098,"-3758404766.6794","6160498620.69512","466508415.221509"
