".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard",134096.557641208,144171.782139034,136132.779464486,141553.572998507,140101.99113525,141440.296709052,128955.364033374,157488.39001292,136181.70242789,126795.499687334,138673.251510534,151086.882058236,142298.0263341,150645.15841742,150655.606579562,131204.922313367,118828.553433758,142533.509615093,144001.798054312,123505.924062598,114731.38876414,136081.338276348,149686.999958706,141390.419533109,143036.571876332,134503.560269183,134188.92110343,"124897.990170808","154337.497249743","129031.702199202"
"rsq","standard",0.0697492615588274,0.0539097649098849,0.0667992018513002,0.0578846649917041,0.0923127224876698,0.0471010368689822,0.0769292069510561,0.0316999717338532,0.0890281427882375,0.0694532182662473,0.0500999392778065,0.0358017698339708,0.0782058993370593,0.0385266235780165,0.039779878492238,0.0806716876031682,0.0928125816196866,0.0824641543615111,0.0600367458014145,0.0838333903242917,0.075410620228477,0.0706317159678959,0.0286458396339411,0.0443121157573629,0.0457083419779481,0.0586018212809419,0.0825392911590991,"0.0576309021319004","0.030536928319026","0.0852874511520114"
"mae","standard",74796.5236944473,78039.6516332021,74885.9984614256,76456.4239094946,77070.1756606588,73279.3611704888,74261.0084864248,79511.0771772433,74176.2393996695,73277.0638392554,73120.7419147066,76738.0020689951,77118.2083078959,73615.5500235946,77465.9294888676,74237.4932629784,70166.6855152122,73104.0500712777,77651.9824835541,73493.795669958,69028.2162183825,74285.9801806149,76454.3587184519,78859.6446392569,75122.6675539911,74264.2952912997,74606.788828752,"73809.8402727293","76428.9225037993","72420.9830034964"
"Bias","Standard",-18514.3173075243,-22039.3234125081,-19902.313596838,-18585.3484174712,-22075.6159412122,-16110.692671751,-19508.2351206609,-19060.0803745304,-22416.3915688223,-13599.9427659798,-14519.1000103643,-17213.5293423242,-20210.0321068626,-14935.4484746095,-15056.2838910303,-19901.6777117572,-14480.2395766863,-19118.2048161773,-19309.0534451844,-17980.6005974402,-11239.4396298118,-20859.0477628858,-12724.910158693,-17714.1250197542,-16027.2984624213,-15416.4935940137,-21332.7858957559,"-15081.7329912715","-17837.4609378575","-17259.1169267166"
"Varianza","Muestral",-12135818466.0897,-12294509459.1706,-10736687591.3285,-11741327152.0683,-13245544825.1531,-4066728366.20052,-10688623434.7845,-7030793526.495,-13942466094.4977,-7762145455.20442,-9888544753.9753,-5070205693.11825,-12170068715.9818,-4808303421.42783,-3251533268.72867,-11155890851.9406,-8331419725.63279,-14845236572.7729,-12884526571.6676,-8887313954.47505,-6499873001.83756,-11563253692.532,-2499076829.94796,-10978581451.5208,-11312488645.0492,-11415480523.3648,-12609405720.3337,"-7935400544.07043","-5883827744.2489","-10248109035.1967"
