"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNOTPSHJNSOCDEIJAH00794201",1,3,11
"TQSMNOQVWHKOKRCDEGKDB00789329",1,1,3
"TQRMNORUXHKNKOCDEGKDB00789279",1,2,11
"TQRMNORUXHKNKOCDEGKDB00789279",1,3,10
"TQRMNORTXHKNKNCDEFMDB00787984",2,1,3
"TQRMNORXQHKOKOCDEFMDB00787953",1,1,2
"TQRMNOSRXHLOSNCDEIJAH00719399",1,1,7
"TQRMNOSRXHLOSNCDEIJAH00719399",1,2,6
"TQRMNOSRQHMOLOCDEFOCD00711723",1,2,6
"TQRMNORSVHJOLPCDEFOCD00794202",1,1,3
"TQRMNORSVHJOLPCDEFOCD00794202",1,2,1
"TQRMNOSTXHLKQSCDEIJAH00719629",2,4,9
"TQRMNOQXTHLOKMCDEFIAH00714488",1,1,12
"TQRMNOQXTHLOKMCDEFIAH00714488",1,3,12
"TQRMNOQWVHJMKQCDEFIAH00794208",1,1,2
"TQRMNOQWVHJMKQCDEFIAH00794208",1,2,6
"TQRMNORXQHKOKOCDEFMDB00787953",1,2,6
"TQSMNOSQUHKOKMCDEGKDB00789196",1,1,2
"TQSMNOSQUHKOKMCDEGKDB00789196",1,6,9
"TQRMNOSRRHKOKMCDEGKDB00789217",1,2,12
"TQRMNOSSRHKOKOCDEFOCD00788337",1,1,6
"TQRMNOPQYHLMKSCDEGLDF00794203",1,2,12
"TQRMNORVRHKKKNCDEOHCH00792899",2,1,2
"TQRMNOPRYHMMKNCDEOHCH00712751",1,1,2
"TQRMNOPRVHMMKOCDEOHCH00712752",1,1,10
"TQRMNORYYHJMKNCDEOHCH00794204",1,1,0
"TQRMNORYYHJMKNCDEOHCH00794204",1,2,4
"TQRMNOTVXHMOKQCDEOHCH00713420",1,2,11
"TQRMNOXQRHKOKMCDEFOCD00788346",1,3,5
"TQRMNOXQRHKOKMCDEFOCD00788346",1,4,9
"TQRMNOPPXHKOKMCDEFPCH00788449",1,2,7
"TQRMNOPPXHKOKMCDEFPCH00788449",1,3,9
"TQRMNOPRTHLNKMCDEGKDB00716292",1,2,8
"TQRMNOQQVHJOKOCDEGKDB00794211",1,1,5
"TQSMNOSVTHLLKOCDEGLDF00716411",1,1,5
"TQRMNOQXQHJMKOCDEOHCH00794205",1,1,1
"TQRMNOQXQHJMKOCDEOHCH00794205",1,2,5
"TQRMNOPPXHMNKSCDEOHCH00713421",1,1,2
"TQRMNOPPXHMNKSCDEOHCH00713421",1,2,10
"TQRMNOPSSHKNKQCDEOHCH00792873",1,2,3
"TQRMNOPSSHKNKQCDEOHCH00792873",1,3,8
"TQRMNOQWPHKNKQCDEOHCH00792947",1,1,3
"TQRMNOQWPHKNKQCDEOHCH00792947",1,2,3
"TQRMNORSUHKKKNCDEFPCH00788451",1,1,3
"TQRMNORSUHKKKNCDEFPCH00788451",1,2,5
"TQRMNOSYTHKMKQCDEGKDB00789167",1,1,8
"TQRMNOPPRHMMKPCDEGKDB00712781",1,2,9
"TQSMNOQWYHMMKTCDEGLDF00712465",1,1,4
"TQRMNORYYHKNKQCDEGLDF00789490",1,2,4
"TQRMNPQTTHKMKMCDEHLEH00790370",1,1,1
"TQRMNORPYHKMKNCDEHLEH00790393",1,3,2
"TQRMNOSWPHKKKMCDEGGFB00788700",1,1,2
"TQRMNOSWPHKKKMCDEGGFB00788700",1,2,3
"TQRMNOQUUHMKKMCDEGGFB00713246",1,1,6
"TQRMNOSPUHJKNOCDEIIAD00794206",1,1,12
"TQRMNOSPUHJKNOCDEIIAD00794206",1,2,14
"TQRMNOSVRHLLNUCDEIIAD00718409",1,1,6
"TQRMNOQXPHKKTUCDEIJAH00792370",1,1,11
"TQRMNOSTXHLKQSCDEIJAH00719629",2,1,11
"TQRMNOPTRHMMLMCDEOJAH00794092",1,2,5
"TQRMNORYRHKMLLCDEOJAH00793101",1,1,1
"TQRMNORYRHKMLLCDEOJAH00793101",1,2,5
"TQRMNOQPQHKNLMCDEOJAH00793074",1,1,5
"TQRMNOQPQHKNLMCDEOJAH00793074",1,2,5
"TQRMNORVTHLMLLCDEOJAH00720343",1,1,6
"TQRMNOPUPHKOLNCDEOJAH00793001",1,1,5
"TQRMNOPUPHKOLNCDEOJAH00793001",1,3,7
"TQRMNOQYQHKOLNCDEOJAH00794093",1,1,2
"TQRMNOQYQHKOLNCDEOJAH00794093",1,2,4
"TQRMNOQYQHKOLNCDEOJAH00794093",1,3,4
"TQSMNOQVPHMMMTCDEIJAH00791558",1,2,8
"TQRMNOPTVHMMMUCDEIJAH00792123",1,1,6
"TQRMNOPTVHMMMUCDEIJAH00792123",1,4,13
"TQRMNORPSHMMMUCDEIJAH00713200",1,5,12
"TQRMNORPSHMMMUCDEIJAH00713200",1,6,14
"TQRMNOPTTHMMNLCDEIJAH00718939",1,1,11
"TQRMNOTTQHKMLNCDEGNFJ00789524",1,1,3
"TQRMNOPQRHKLKMCDEOHCH00792887",1,3,5
"TQRMNOPXTHMOLLCDEGNFJ00789581",1,1,3
"TQRMNOQRQHLLKRCDEHNHB00779262",1,1,5
"TQRMNOQRQHLLKRCDEHNHB00779262",1,2,9
"TQRMNOQYRHJNMOCDEFKID00794153",1,1,6
"TQRMNOTTVHLOKMCDEIHJF00718193",1,1,5
"TQRMNOTTVHLOKMCDEIHJF00718193",1,2,7
"TQRMNOTTVHLOKMCDEIHJF00718193",1,3,7
"TQRMNORVXHJOKMCDEIHJF00794154",1,1,5
"TQRMNOPYQHLOKTCDEHNHB00717586",1,2,6
"TQRMNOQYRHKOLNCDEOJAH00794094",1,1,3
"TQRMNORSRHJMKNCDEFLID00794095",1,1,4
"TQRMNORSRHJMKNCDEFLID00794095",1,2,3
"TQRMNOSUTHMMQLCDEIJAH00718767",1,1,10
"TQSMNOPURHMOQRCDEIJAH00792293",1,2,9
"TQRMNOPURHMOQRCDEIJAH00792354",1,1,9
"TQRMNOPURHMOQRCDEIJAH00792354",1,2,11
"TQRMNOPVSHLOQPCDEIJAH00780558",1,1,7
"TQRMNOQRSHMKNNCDEIJAH00713150",1,1,6
"TQRMNOQRSHMKNNCDEIJAH00713150",1,2,4
"TQSMNOQQVHLMNQCDEIJAH00794115",1,1,10
"TQRMNOTTUHLMNTCDEIJAH00780529",1,2,14
"TQRMNOQPSHLOKTCDEFLID00714979",1,1,9
"TQRMNOPPTHJOKRCDEFLID00794135",1,2,7
"TQRMNOPPTHJOKRCDEFLID00794135",1,3,11
"TQRMNOPPTHJOKRCDEFLID00794135",1,4,10
"TQRMNOQTQHJOKRCDEFLID00794136",1,1,4
"TQRMNOQTQHJOKRCDEFLID00794136",1,2,3
"TQRMNOSQYHJMKTCDEHNHB00794155",1,1,1
"TQRMNOSQYHJMKTCDEHNHB00794155",1,2,6
"TQRMNOSQYHJMKTCDEHNHB00794155",1,3,6
"TQRMNORSSHJMMNCDEFKID00794158",1,1,5
"TQRMNOQQSHJNMOCDEFKID00794159",1,1,9
"TQRMNOTTPHJMQTCDEIJAH00794096",1,2,9
"TQRMNOTTPHJMQTCDEIJAH00794096",1,3,12
"TQRMNOPXQHLOQRCDEIJAH00718794",1,1,14
"TQRMNOPXQHLOQRCDEIJAH00718794",1,2,8
"TQRMNOPTPHMMQTCDEIJAH00709188",1,8,12
"TQRMNOSVQHKOLQCDEIKAH00794116",1,1,5
"TQRMNOSVQHKOLQCDEIKAH00794116",1,2,4
"TQRMNOQVTHJMLPCDEIKAH00794117",1,2,8
"TQRMNORVSHMLKRCDEFLID00714981",1,2,13
"TQRMNOPQPHJLLLCDEFLID00794137",1,1,6
"TQRMNOPQPHJLLLCDEFLID00794137",1,2,3
"TQRMNOTRUHJLLLCDEFLID00794138",1,1,6
"TQRMNORSXHKOLPCDEHIBB00790061",1,1,1
"TQRMNORSXHKOLPCDEHIBB00790061",1,2,1
"TQRMNOTRSHJNMOCDEFKID00794160",1,1,5
"TQRMNOTRSHJNMOCDEFKID00794160",1,3,10
"TQRMNOPWRHJMMPCDEFKID00794161",1,1,9
"TQRMNOPPXHLMKUCDEIHJF00779696",1,1,3
"TQRMNOPWYHJOKTCDEIHJF00794163",1,2,9
"TQRMNOSRSHJOKTCDEIHJF00794164",1,1,2
"TQRMNOPWRHMNQUCDEIJAH00718797",1,1,11
"TQRMNOUPTHKKQTCDEIJAH00791905",1,1,9
"TQRMNOQTWHMLRTCDEIJAH00709209",1,1,4
"TQRMNOQVTHJMLPCDEIKAH00794117",1,4,11
"TQRMNOPWSHLOLPCDEHIBB00717024",1,1,3
"TQRMNOPWSHLOLPCDEHIBB00717024",1,2,4
"TQRMNORPRHMNLQCDEHIBB00712814",1,3,7
"TQRMNOUVYHJOLQCDEHIBB00794141",1,1,0
"TQRMNOQWQHKOKUCDEIHJF00791186",1,1,4
"TQRMNOQWQHKOKUCDEIHJF00791186",1,2,4
"TQRMNOPWVHJLLNCDEGPDJ00794165",1,1,1
"TQRMNOPWVHJLLNCDEGPDJ00794165",1,2,4
"TQRMNOQUYHLMLNCDEGPDJ00716924",1,1,0
"TQRMNOSRRHKOLPCDEGPDJ00794166",1,1,2
"TQRMNOSRRHKOLPCDEGPDJ00794166",1,2,3
"TQRMNOSRUHKOLPCDEGPDJ00789817",1,1,2
"TQRMNORSVHMOKMCDEGOIH00711268",1,1,2
"TQRMNOPYPHLOKNCDEGOIH00716734",1,1,0
"TQRMNOPYPHLOKNCDEGOIH00716734",1,3,4
"TQRMNOPWYHJMKOCDEGOIH00794099",1,1,1
"TQRMNOPXVHJMKOCDEGOIH00794100",1,2,2
"TQRMNORXXHLLLUCDEIKAH00719834",1,1,10
"TQRMNOSRVHJNLTCDEIKAH00794120",1,1,5
"TQRMNOQVQHJKLMCDEHJGH00794121",1,1,4
"TQRMNOQRVHKMKSCDEIOAH00792786",1,2,3
"TQRMNOPYTHLOKNCDEGOIH00716673",1,1,3
"TQSMNOPUYHKNKMCDEGJBF00789081",1,1,5
"TQRMNOSYXHJOKMCDEGJBF00794142",1,1,7
"TQRMNOSYXHJOKMCDEGJBF00794142",1,2,8
"TQRMNOSYXHJOKMCDEGJBF00794142",1,3,10
"TQRMNOSYXHJOKMCDEGJBF00794142",1,4,11
"TQRMNOPUUHJNKNCDEGJBF00794143",1,1,2
"TQRMNOPUUHJNKNCDEGJBF00794143",1,2,11
"TQRMNORWRHKKKOCDEHNHB00790592",1,1,8
"TQRMNORTTHKMKNCDEHNHB00790735",1,1,2
"TQRMNOSSUHLMLSCDEFLID00715114",1,1,9
"TQRMNOPQXHJOKQCDEGOIH00794168",1,1,1
"TQRMNOPQXHJOKQCDEGOIH00794168",1,2,4
"TQRMNOPQXHJOKQCDEGOIH00794168",1,3,5
"TQRMNOPQXHJOKQCDEGOIH00794168",1,5,1
"TQRMNOPQXHJOKQCDEGOIH00794168",1,6,1
"TQRMNOPXVHJMKOCDEGOIH00794100",1,3,4
"TQRMNOQTXHMOKUCDEIHJF00714416",2,1,2
"TQRMNOQSYHLMKTCDEHMHF00717478",1,1,1
"TQRMNOQSYHLMKTCDEHMHF00717478",1,2,4
"TQRMNORUUHJMKSCDEGNFJ00794101",1,1,3
"TQRMNOQQRHMNLMCDEGNFJ00789556",1,1,5
"TQRMNOUPUHJLKTCDEHPJB00794103",1,1,1
"TQSMNOPQWHKMLSCDEGGFB00788659",1,1,4
"TQSMNOPQWHKMLSCDEGGFB00788659",1,2,2
"TQRMNOPQYHLOKPCDEGOIH00716730",1,1,3
"TQRMNOPQYHLOKPCDEGOIH00716730",1,2,2
"TQRMNOQUSHLOKMCDEHGHJ00716985",1,1,0
"TQRMNORPPHLNLOCDEFMDB00715250",1,1,6
"TQRMNORPPHLNLOCDEFMDB00715250",1,2,13
"TQSMNOQPXHKNKMCDEGKDB00789195",1,1,8
"TQSMNORYWHLOKUCDEGIBJ00715891",1,2,6
"TQRMNOQVWHKOKSCDEGIBJ00788819",1,1,2
"TQRMNOPYXHJOLLCDEGIBJ00794145",1,1,1
"TQRMNOPYXHJOLLCDEGIBJ00794145",1,2,1
"TQRMNOQPQHJOLLCDEGIBJ00794146",1,1,3
"TQRMNOQXRHMKKSCDEGIBJ00715988",1,1,4
"TQRMNOQYSHMKKSCDEGOIH00713223",1,1,2
"TQRMNOSSWHKOKSCDEGKDB00789333",1,1,6
"TQRMNOSSWHKOKSCDEGKDB00789333",1,2,7
"TQRMNOPXPHJOKUCDEGKDB00794171",1,2,12
"TQRMNOQXXHJOKUCDEGKDB00794172",1,1,7
"TQRMNORRSHKMLTCDEGGFB00788562",1,1,5
"TQRMNOPRWHKKKOCDEGGFB00788566",1,1,4
"TQRMNOQTYHMMLQCDEHMHF00714190",2,1,1
"TQRMNOQQYHKNKPCDEGKDB00789350",1,1,9
"TQRMNORPWHMOKNCDEFLID00712777",1,2,13
"TQRMNORPWHMOKNCDEFLID00712777",1,4,12
"TQRMNORPWHMOKNCDEFLID00712777",1,5,7
"TQRMNORVWHJOKOCDEFLID00794122",1,3,10
"TQRMNOPVTHJOKPCDEFLID00794123",1,1,5
"TQRMNOPXSHJLLMCDEGIBJ00794147",1,1,2
"TQRMNOPXSHJLLMCDEGIBJ00794147",1,2,5
"TQRMNOQRRHLMLOCDEGIBJ00794148",1,1,3
"TQRMNORWVHLMLOCDEGIBJ00715941",2,2,4
"TQRMNOQTYHKMLLCDEGIBJ00788838",1,2,8
"TQRMNOSQUHKLKTCDEFMDB00787926",1,1,9
"TQRMNOSQUHKLKTCDEFMDB00787926",1,2,6
"TQRMNOSPUHKMKNCDEFMDB00787914",1,1,8
"TQRMNOPSPHLMKTCDEGKDB00716302",1,1,6
"TQRMNORRYHLMKUCDEGKDB00716305",1,1,9
"TQRMNOPTQHJNKMCDEHGHJ00794104",1,1,5
"TQRMNOTUTHLLKOCDEHGHJ00716967",1,1,6
"TQRMNOSSYHJOKTCDEFMDB00794106",1,1,3
"TQRMNOSSPHJOLQCDEGJBF00794107",1,1,8
"TQRMNOSSPHJOLQCDEGJBF00794107",1,2,7
"TQRMNOPYRHKNKRCDEFLID00794124",1,1,9
"TQRMNOPYRHKNKRCDEFLID00794124",1,2,10
"TQRMNORWYHJMKSCDEFLID00794125",1,1,5
"TQRMNOPXUHJKKUCDEFLID00794126",1,1,3
"TQRMNOQPWHKLKTCDEFLID00794127",1,1,7
"TQRMNORYPHKOLLCDEHPJB00790787",1,1,1
"TQRMNORYPHKOLLCDEHPJB00790787",1,2,2
"TQRMNORYPHKOLLCDEHPJB00790787",1,3,5
"TQRMNOSPUHKMKNCDEFMDB00787914",1,2,11
"TQRMNOQTSHLNRMCDEIJAH00780203",2,1,4
"TQRMNORPUHKMQRCDEIJAH00792033",1,1,11
"TQRMNORXXHLMLLCDEGJBF00716274",1,1,6
"TQRMNOQYRHMMLPCDEGJBF00712680",1,4,14
"TQRMNORSRHLLLOCDEGJBF00794151",1,1,4
"TQRMNOPXTHMOLRCDEGJBF00713123",1,1,7
"TQRMNORVTHJKLNCDEGKDB00794174",1,1,11
"TQRMNORVTHJKLNCDEGKDB00794174",1,2,4
"TQRMNOPSUHKNKQCDEGKDB00789306",1,1,7
"TQRMNOSQQHKOKNCDEGKDB00789266",1,1,3
"TQRMNOSQQHKOKNCDEGKDB00789266",1,2,11
"TQRMNOSSRHJOLQCDEGJBF00794108",1,1,5
"TQRMNOSVRHKMLPCDEGJBF00789088",1,1,5
"TQRMNOQPTHJMLRCDEGJBF00794109",1,1,7
"TQRMNOSRTHJMLRCDEGJBF00794111",1,1,7
"TQRMNOQRUHKOMNCDEFKID00787671",1,1,3
"TQRMNOQRUHKOMNCDEFKID00787671",1,3,13
"TQRMNOSXPHJMKRCDEGGFB00794128",1,1,4
"TQRMNOQXPHKOKQCDEGNFJ00789551",1,1,5
"TQRMNORUVHJMKSCDEGNFJ00794130",1,1,10
"TQRMNOPXTHMOLRCDEGJBF00713123",1,3,14
"TQRMNOPXTHMOLRCDEGJBF00713123",1,4,13
"TQRMNOTUQHJMLRCDEFKID00794152",1,1,10
"TQRMNOTUQHJMLRCDEFKID00794152",1,2,7
"TQRMNOPPSHKMLSCDEFKID00787579",1,1,11
"TQRMNOPPSHKMLSCDEFKID00787579",1,2,7
"TQRMNOTWRHKNLTCDEFKID00787661",1,1,6
"TQRMNORUXHLOLSCDEFKID00776156",1,1,2
"TQRMNORXYHMMKSCDEGLDF00712464",1,2,9
"TQRMNORXYHKOKOCDEGKDB00789156",2,1,7
"TQRMNORXYHKOKOCDEGKDB00789156",2,2,2
"TQRMNOQRVHMLKMCDEGLDF00713627",1,1,5
"TQRMNOQRVHMLKMCDEGLDF00713627",1,4,9
"TQRMNOUXPHKLKNCDEGLDF00789418",1,3,7
"TQRMNOSRTHJMLRCDEGJBF00794111",1,2,11
"TQRMNORVPHMMLUCDEGJBF00713610",1,1,8
"TQRMNORVPHMMLUCDEGJBF00713610",1,2,12
"TQSMNOQVTHLMLTCDEGJBF00716239",1,3,16
"TQSMNOQVTHLMLTCDEGJBF00716239",1,4,12
"TQRMNOPXPHJLLSCDEGJBF00794112",1,1,12
"TQRMNOPXPHJLLSCDEGJBF00794112",1,2,12
"TQRMNOPRUHKMLSCDEGJBF00788920",1,1,13
"TQRMNORVQHMNKSCDEIGED00709686",1,1,9
"TQRMNORVQHMNKSCDEIGED00709686",1,2,9
"TQRMNOPUYHLLKUCDEIGED00718018",1,1,7
"TQRMNOPUYHLLKUCDEIGED00718018",1,2,14
"TQRMNOQQWHMOLPCDEHIBB00709453",1,2,6
"TQRMNORTRHKNMOCDEIJAH00792164",1,9,10
"TQRMNOSURHMOKOCDEFJAH00710016",1,1,6
"TQRMNOSUTHMOKOCDEFJAH00710549",1,1,3
"TQRMNOQPQHLMKQCDEFJAH00714678",1,2,5
"TQRMNOPUTHJOLQCDEFPCH00796751",1,2,6
"TQRMNORYQHJOLQCDEFPCH00796753",1,1,7
"TQRMNORYQHJOLQCDEFPCH00796753",1,2,9
"TQRMNOQPYHLOKMCDEOHCH00720238",1,1,4
"TQRMNOQPYHLOKMCDEOHCH00720238",1,2,7
"TQRMNOSWRHJKKMCDEOHCH00796754",1,1,6
"TQRMNOPXRHKMLLCDEOJAH00792986",1,1,1
"TQRMNOPXRHKMLLCDEOJAH00792986",1,2,4
"TQRMNOPUTHMMLNCDEFNFF00715413",1,2,7
"TQRMNOSRYHMOLPCDEFNFF00709631",1,1,2
"TQRMNOQQUHMNLQCDEFNFF00709368",1,4,1
"TQRMNOPXYHMOLMCDEIMBF00710007",1,1,7
"TQRMNOPXYHMOLMCDEIMBF00710007",1,8,5
